workerid,entire sentence,fist trials,firstanswers,tgrep id,response,slide_number_in_experiment,language,enjoyment,gender,age,comments,asses,fairprice,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.condition,Answer.time_in_minutes,Answer.catch_trials
0,NA,NA,[u'wrong'],NA,[False],2,english,2,Female,41,thanks,Yes,1,2,Windows,1080,1920,Chrome,3Z33IC0JC0U15LZ5NRENTPSAL3WV95,3J2GQK7M7O3BXGFYXWTN43RALDWOP6,but not both pilot,"you&quotecharll read some sentences, modify them and rate them",language research stanford,$1.50,Di Okt 03 15:46:15 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Do Nov 02 14:46:15 MEZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3Z33IC0JC0U15LZ5NRENTPSAL3WV95,3YWRV122CT741LPP3B36LRR0X7Y8UH,0,Submitted,Mi Okt 04 08:36:24 MESZ 2017,Di Okt 03 15:47:22 MESZ 2017,Di Okt 03 15:56:24 MESZ 2017,,,,,,undefined,8.281366666666667,[]
0,NA,NA,NA,NA,"[u'I don&quotechart think it will stop raining or actually will start being sunny<font color=red> but not both </font>', False]",3,english,2,Female,41,thanks,Yes,1,2,Windows,1080,1920,Chrome,3Z33IC0JC0U15LZ5NRENTPSAL3WV95,3J2GQK7M7O3BXGFYXWTN43RALDWOP6,but not both pilot,"you&quotecharll read some sentences, modify them and rate them",language research stanford,$1.50,Di Okt 03 15:46:15 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Do Nov 02 14:46:15 MEZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3Z33IC0JC0U15LZ5NRENTPSAL3WV95,3YWRV122CT741LPP3B36LRR0X7Y8UH,0,Submitted,Mi Okt 04 08:36:24 MESZ 2017,Di Okt 03 15:47:22 MESZ 2017,Di Okt 03 15:56:24 MESZ 2017,,,,,,undefined,8.281366666666667,[]
0,"i think it&quotechars kind of absurd, you know, the fact that, you know, they don&quotechart really, they don&quotechart really give, you know, the original artist, or the original composer, the credit that --n402dd5 is really due to them.",[],NA,1786:119,"[u'i think it&quotechars kind of absurd, you know, the fact that, you know, they don&quotechart really, they don&quotechart really give, you know, the original artist, or the original composer<font color=red> but not both, </font>the credit that  is really due to them.', False]",5,english,2,Female,41,thanks,Yes,1,2,Windows,1080,1920,Chrome,3Z33IC0JC0U15LZ5NRENTPSAL3WV95,3J2GQK7M7O3BXGFYXWTN43RALDWOP6,but not both pilot,"you&quotecharll read some sentences, modify them and rate them",language research stanford,$1.50,Di Okt 03 15:46:15 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Do Nov 02 14:46:15 MEZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3Z33IC0JC0U15LZ5NRENTPSAL3WV95,3YWRV122CT741LPP3B36LRR0X7Y8UH,0,Submitted,Mi Okt 04 08:36:24 MESZ 2017,Di Okt 03 15:47:22 MESZ 2017,Di Okt 03 15:56:24 MESZ 2017,,,,,,undefined,8.281366666666667,[]
0,"you know, i don&quotechart know for, if you&quotecharre familiar with that or not.",[],NA,162681:59,"[u'you know, i don&quotechart know for, if you&quotecharre familiar with that or not<font color=red> but not both. </font>', True]",6,english,2,Female,41,thanks,Yes,1,2,Windows,1080,1920,Chrome,3Z33IC0JC0U15LZ5NRENTPSAL3WV95,3J2GQK7M7O3BXGFYXWTN43RALDWOP6,but not both pilot,"you&quotecharll read some sentences, modify them and rate them",language research stanford,$1.50,Di Okt 03 15:46:15 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Do Nov 02 14:46:15 MEZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3Z33IC0JC0U15LZ5NRENTPSAL3WV95,3YWRV122CT741LPP3B36LRR0X7Y8UH,0,Submitted,Mi Okt 04 08:36:24 MESZ 2017,Di Okt 03 15:47:22 MESZ 2017,Di Okt 03 15:56:24 MESZ 2017,,,,,,undefined,8.281366666666667,[]
0,"and, uh, she really enjoys it right now because she doesn&quotechart have --n4031e7 to wash dishes or cook.",[],NA,155506:58,"[u'and, uh, she really enjoys it right now because she doesn&quotechart have  to wash dishes or cook<font color=red> but not both. </font>', True]",7,english,2,Female,41,thanks,Yes,1,2,Windows,1080,1920,Chrome,3Z33IC0JC0U15LZ5NRENTPSAL3WV95,3J2GQK7M7O3BXGFYXWTN43RALDWOP6,but not both pilot,"you&quotecharll read some sentences, modify them and rate them",language research stanford,$1.50,Di Okt 03 15:46:15 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Do Nov 02 14:46:15 MEZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3Z33IC0JC0U15LZ5NRENTPSAL3WV95,3YWRV122CT741LPP3B36LRR0X7Y8UH,0,Submitted,Mi Okt 04 08:36:24 MESZ 2017,Di Okt 03 15:47:22 MESZ 2017,Di Okt 03 15:56:24 MESZ 2017,,,,,,undefined,8.281366666666667,[]
0,"and then it seems sort of like a san antonio early winter or fall, year-round.",[],NA,70251:35,"[u'and then it seems sort of like a san antonio early winter or fall<font color=red> but not both, </font>year-round.', False]",8,english,2,Female,41,thanks,Yes,1,2,Windows,1080,1920,Chrome,3Z33IC0JC0U15LZ5NRENTPSAL3WV95,3J2GQK7M7O3BXGFYXWTN43RALDWOP6,but not both pilot,"you&quotecharll read some sentences, modify them and rate them",language research stanford,$1.50,Di Okt 03 15:46:15 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Do Nov 02 14:46:15 MEZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3Z33IC0JC0U15LZ5NRENTPSAL3WV95,3YWRV122CT741LPP3B36LRR0X7Y8UH,0,Submitted,Mi Okt 04 08:36:24 MESZ 2017,Di Okt 03 15:47:22 MESZ 2017,Di Okt 03 15:56:24 MESZ 2017,,,,,,undefined,8.281366666666667,[]
0,"uh, my, my idea i guess of the ideal vacation would be to begin with, uh, money be no object. you know, so just absolutely, you know, first class fly where i want --n402ab2 to --n402ac1, rent a car if i want --n402ae4 to. uh, you know, just the, really the nicest hotels and stuff like that and and not worry if somebody says, well, let&quotechars take this little side trip, you know, and not have to sit there and figure out, um, you know, again we, we fit that in there or not.",[],NA,113176:393,"[u'uh, my, my idea i guess of the ideal vacation would be to begin with, uh, money be no object. you know, so just absolutely, you know, first class fly where i want  to , rent a car if i want  to. uh, you know, just the, really the nicest hotels and stuff like that and and not worry if somebody says, well, let&quotechars take this little side trip, you know, and not have to sit there and figure out, um, you know, again we, we fit that in there or not<font color=red> but not both. </font>', True]",9,english,2,Female,41,thanks,Yes,1,2,Windows,1080,1920,Chrome,3Z33IC0JC0U15LZ5NRENTPSAL3WV95,3J2GQK7M7O3BXGFYXWTN43RALDWOP6,but not both pilot,"you&quotecharll read some sentences, modify them and rate them",language research stanford,$1.50,Di Okt 03 15:46:15 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Do Nov 02 14:46:15 MEZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3Z33IC0JC0U15LZ5NRENTPSAL3WV95,3YWRV122CT741LPP3B36LRR0X7Y8UH,0,Submitted,Mi Okt 04 08:36:24 MESZ 2017,Di Okt 03 15:47:22 MESZ 2017,Di Okt 03 15:56:24 MESZ 2017,,,,,,undefined,8.281366666666667,[]
0,"i wonder, i wonder how, how the civil system or the court system must differ between there and say --n403741 where i am --n403754 in minneapolis --n403763.",[],NA,174254:56,"[u'i wonder, i wonder how, how the civil system or the court system must differ between there and say  where i am<font color=red> but not both </font> in minneapolis .', True]",10,english,2,Female,41,thanks,Yes,1,2,Windows,1080,1920,Chrome,3Z33IC0JC0U15LZ5NRENTPSAL3WV95,3J2GQK7M7O3BXGFYXWTN43RALDWOP6,but not both pilot,"you&quotecharll read some sentences, modify them and rate them",language research stanford,$1.50,Di Okt 03 15:46:15 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Do Nov 02 14:46:15 MEZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3Z33IC0JC0U15LZ5NRENTPSAL3WV95,3YWRV122CT741LPP3B36LRR0X7Y8UH,0,Submitted,Mi Okt 04 08:36:24 MESZ 2017,Di Okt 03 15:47:22 MESZ 2017,Di Okt 03 15:56:24 MESZ 2017,,,,,,undefined,8.281366666666667,[]
0,"and, you know, working out six hours a day, usually six or seven days a week that kind of, kept us all in pretty good shape,.",[],NA,71908:46,"[u'and, you know, working out six hours a day, usually six or seven days a week<font color=red> but not both </font>that kind of, kept us all in pretty good shape,.', True]",11,english,2,Female,41,thanks,Yes,1,2,Windows,1080,1920,Chrome,3Z33IC0JC0U15LZ5NRENTPSAL3WV95,3J2GQK7M7O3BXGFYXWTN43RALDWOP6,but not both pilot,"you&quotecharll read some sentences, modify them and rate them",language research stanford,$1.50,Di Okt 03 15:46:15 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Do Nov 02 14:46:15 MEZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3Z33IC0JC0U15LZ5NRENTPSAL3WV95,3YWRV122CT741LPP3B36LRR0X7Y8UH,0,Submitted,Mi Okt 04 08:36:24 MESZ 2017,Di Okt 03 15:47:22 MESZ 2017,Di Okt 03 15:56:24 MESZ 2017,,,,,,undefined,8.281366666666667,[]
0,"um, i might try that because i, i have one card that i&quotecharve had --n4049b4 for about, uh, i don&quotechart know, nine or ten years.",[],NA,145577:99,"[u'um, i might try that because i, i have one card that i&quotecharve had  for about, uh, i don&quotechart know, nine or ten years<font color=red> but not both. </font>', False]",12,english,2,Female,41,thanks,Yes,1,2,Windows,1080,1920,Chrome,3Z33IC0JC0U15LZ5NRENTPSAL3WV95,3J2GQK7M7O3BXGFYXWTN43RALDWOP6,but not both pilot,"you&quotecharll read some sentences, modify them and rate them",language research stanford,$1.50,Di Okt 03 15:46:15 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Do Nov 02 14:46:15 MEZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3Z33IC0JC0U15LZ5NRENTPSAL3WV95,3YWRV122CT741LPP3B36LRR0X7Y8UH,0,Submitted,Mi Okt 04 08:36:24 MESZ 2017,Di Okt 03 15:47:22 MESZ 2017,Di Okt 03 15:56:24 MESZ 2017,,,,,,undefined,8.281366666666667,[]
