workerid,entire sentence,fist trials,firstanswers,tgrep id,response,slide_number_in_experiment,language,enjoyment,gender,age,comments,asses,fairprice,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,NA,NA,[],NA,[False],2,English,1,Male,35,,Yes,1,3,Mac,1440,2560,Chrome,3HO4MYYR12WEAN87KU16DTZPHUNU6A,3J2GQK7M7O3BXGFYXWTN43RALDWOP6,but not both pilot,"you&quotecharll read some sentences, modify them and rate them",language research stanford,$1.50,Mo Okt 02 14:49:18 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Mi Nov 01 13:49:18 MEZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3HO4MYYR12WEAN87KU16DTZPHUNU6A,33OOO72IVITRDB0DKIT1IH1H4I1CTL,0,Submitted,Di Okt 03 07:37:01 MESZ 2017,Mo Okt 02 14:50:35 MESZ 2017,Mo Okt 02 14:57:01 MESZ 2017,,,,,,[],undefined,5.7449666666666666
0,NA,NA,NA,NA,"[u'I don&quotechart think it will stop raining or actually will start being sunny<font color=red> but not both </font>', False]",3,English,1,Male,35,,Yes,1,3,Mac,1440,2560,Chrome,3HO4MYYR12WEAN87KU16DTZPHUNU6A,3J2GQK7M7O3BXGFYXWTN43RALDWOP6,but not both pilot,"you&quotecharll read some sentences, modify them and rate them",language research stanford,$1.50,Mo Okt 02 14:49:18 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Mi Nov 01 13:49:18 MEZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3HO4MYYR12WEAN87KU16DTZPHUNU6A,33OOO72IVITRDB0DKIT1IH1H4I1CTL,0,Submitted,Di Okt 03 07:37:01 MESZ 2017,Mo Okt 02 14:50:35 MESZ 2017,Mo Okt 02 14:57:01 MESZ 2017,,,,,,[],undefined,5.7449666666666666
0,"i think i had some other, uh, like staying in shape or working out.",[],NA,15459:47,"[u'i think i had some other, uh, like staying in shape or working out<font color=red> but not both. </font>', True]",5,English,1,Male,35,,Yes,1,3,Mac,1440,2560,Chrome,3HO4MYYR12WEAN87KU16DTZPHUNU6A,3J2GQK7M7O3BXGFYXWTN43RALDWOP6,but not both pilot,"you&quotecharll read some sentences, modify them and rate them",language research stanford,$1.50,Mo Okt 02 14:49:18 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Mi Nov 01 13:49:18 MEZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3HO4MYYR12WEAN87KU16DTZPHUNU6A,33OOO72IVITRDB0DKIT1IH1H4I1CTL,0,Submitted,Di Okt 03 07:37:01 MESZ 2017,Mo Okt 02 14:50:35 MESZ 2017,Mo Okt 02 14:57:01 MESZ 2017,,,,,,[],undefined,5.7449666666666666
0,i don&quotechart know how long it takes --n4062ca whether it takes five minutes or twenty minutes.,[],NA,7684:47,"[u'i don&quotechart know how long it takes  whether it takes five minutes or twenty minutes<font color=red> but not both. </font>', False]",6,English,1,Male,35,,Yes,1,3,Mac,1440,2560,Chrome,3HO4MYYR12WEAN87KU16DTZPHUNU6A,3J2GQK7M7O3BXGFYXWTN43RALDWOP6,but not both pilot,"you&quotecharll read some sentences, modify them and rate them",language research stanford,$1.50,Mo Okt 02 14:49:18 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Mi Nov 01 13:49:18 MEZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3HO4MYYR12WEAN87KU16DTZPHUNU6A,33OOO72IVITRDB0DKIT1IH1H4I1CTL,0,Submitted,Di Okt 03 07:37:01 MESZ 2017,Mo Okt 02 14:50:35 MESZ 2017,Mo Okt 02 14:57:01 MESZ 2017,,,,,,[],undefined,5.7449666666666666
0,"you know, i don&quotechart know for, if you&quotecharre familiar with that or not.","[u'i don&quotechart know how long it takes  whether it takes five minutes or twenty minutes<font color=red> but not both. </font>', False]",NA,162681:59,"[u'you know, i don&quotechart know for, if you&quotecharre familiar with that or not<font color=red> but not both. </font>', True]",7,English,1,Male,35,,Yes,1,3,Mac,1440,2560,Chrome,3HO4MYYR12WEAN87KU16DTZPHUNU6A,3J2GQK7M7O3BXGFYXWTN43RALDWOP6,but not both pilot,"you&quotecharll read some sentences, modify them and rate them",language research stanford,$1.50,Mo Okt 02 14:49:18 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Mi Nov 01 13:49:18 MEZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3HO4MYYR12WEAN87KU16DTZPHUNU6A,33OOO72IVITRDB0DKIT1IH1H4I1CTL,0,Submitted,Di Okt 03 07:37:01 MESZ 2017,Mo Okt 02 14:50:35 MESZ 2017,Mo Okt 02 14:57:01 MESZ 2017,,,,,,[],undefined,5.7449666666666666
0,"and, uh, she really enjoys it right now because she doesn&quotechart have --n4031e7 to wash dishes or cook.",[],NA,155506:58,"[u'and, uh, she really enjoys it right now because she doesn&quotechart have  to wash dishes or cook<font color=red> but not both. </font>', True]",8,English,1,Male,35,,Yes,1,3,Mac,1440,2560,Chrome,3HO4MYYR12WEAN87KU16DTZPHUNU6A,3J2GQK7M7O3BXGFYXWTN43RALDWOP6,but not both pilot,"you&quotecharll read some sentences, modify them and rate them",language research stanford,$1.50,Mo Okt 02 14:49:18 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Mi Nov 01 13:49:18 MEZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3HO4MYYR12WEAN87KU16DTZPHUNU6A,33OOO72IVITRDB0DKIT1IH1H4I1CTL,0,Submitted,Di Okt 03 07:37:01 MESZ 2017,Mo Okt 02 14:50:35 MESZ 2017,Mo Okt 02 14:57:01 MESZ 2017,,,,,,[],undefined,5.7449666666666666
0,"just, because yo-, you don&quotechart like --n403986 to or because, because you won&quotechart be able --n4039b9 to.",[],NA,71989:47,"[u'just, because yo-, you don&quotechart like  to or because, because you won&quotechart be able  to<font color=red> but not both. </font>', True]",9,English,1,Male,35,,Yes,1,3,Mac,1440,2560,Chrome,3HO4MYYR12WEAN87KU16DTZPHUNU6A,3J2GQK7M7O3BXGFYXWTN43RALDWOP6,but not both pilot,"you&quotecharll read some sentences, modify them and rate them",language research stanford,$1.50,Mo Okt 02 14:49:18 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Mi Nov 01 13:49:18 MEZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3HO4MYYR12WEAN87KU16DTZPHUNU6A,33OOO72IVITRDB0DKIT1IH1H4I1CTL,0,Submitted,Di Okt 03 07:37:01 MESZ 2017,Mo Okt 02 14:50:35 MESZ 2017,Mo Okt 02 14:57:01 MESZ 2017,,,,,,[],undefined,5.7449666666666666
0,"and there was no such thing as a job or any hope of a job, unti-, well, unless,",[],NA,27951:28,"[u'just, because yo-, you don&quotechart like  to or because, because you won&quotechart be able  to<font color=red> but not both. </font>', True]",10,English,1,Male,35,,Yes,1,3,Mac,1440,2560,Chrome,3HO4MYYR12WEAN87KU16DTZPHUNU6A,3J2GQK7M7O3BXGFYXWTN43RALDWOP6,but not both pilot,"you&quotecharll read some sentences, modify them and rate them",language research stanford,$1.50,Mo Okt 02 14:49:18 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Mi Nov 01 13:49:18 MEZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3HO4MYYR12WEAN87KU16DTZPHUNU6A,33OOO72IVITRDB0DKIT1IH1H4I1CTL,0,Submitted,Di Okt 03 07:37:01 MESZ 2017,Mo Okt 02 14:50:35 MESZ 2017,Mo Okt 02 14:57:01 MESZ 2017,,,,,,[],undefined,5.7449666666666666
0,"then do they give you like one ch-, one more chance or two more chances.",[],NA,174875:45,"[u'then do they give you like one ch-, one more chance or two more chances<font color=red> but not both. </font>', True]",11,English,1,Male,35,,Yes,1,3,Mac,1440,2560,Chrome,3HO4MYYR12WEAN87KU16DTZPHUNU6A,3J2GQK7M7O3BXGFYXWTN43RALDWOP6,but not both pilot,"you&quotecharll read some sentences, modify them and rate them",language research stanford,$1.50,Mo Okt 02 14:49:18 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Mi Nov 01 13:49:18 MEZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3HO4MYYR12WEAN87KU16DTZPHUNU6A,33OOO72IVITRDB0DKIT1IH1H4I1CTL,0,Submitted,Di Okt 03 07:37:01 MESZ 2017,Mo Okt 02 14:50:35 MESZ 2017,Mo Okt 02 14:57:01 MESZ 2017,,,,,,[],undefined,5.7449666666666666
0,"i think it&quotechars kind of absurd, you know, the fact that, you know, they don&quotechart really, they don&quotechart really give, you know, the original artist, or the original composer, the credit that --n402dd5 is really due to them.",[],NA,1786:119,"[u'i think it&quotechars kind of absurd, you know, the fact that, you know, they don&quotechart really, they don&quotechart really give, you know, the original artist, or the original composer, the credit that  is really due to them<font color=red> but not both. </font>', True]",12,English,1,Male,35,,Yes,1,3,Mac,1440,2560,Chrome,3HO4MYYR12WEAN87KU16DTZPHUNU6A,3J2GQK7M7O3BXGFYXWTN43RALDWOP6,but not both pilot,"you&quotecharll read some sentences, modify them and rate them",language research stanford,$1.50,Mo Okt 02 14:49:18 MESZ 2017,9,0,0,0,Reviewable,NotReviewed,1 cond,1800,60000,Mi Nov 01 13:49:18 MEZ 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3HO4MYYR12WEAN87KU16DTZPHUNU6A,33OOO72IVITRDB0DKIT1IH1H4I1CTL,0,Submitted,Di Okt 03 07:37:01 MESZ 2017,Mo Okt 02 14:50:35 MESZ 2017,Mo Okt 02 14:57:01 MESZ 2017,,,,,,[],undefined,5.7449666666666666
